Treatment	Plot	Rep	Month	Year	Phylum	LogCopyNumber	SoilMoisture	SoilMoisturePlot
1	2	1	1	1	Acidobacteria	7.748877583	26.76666667	26.7
1	2	2	1	1	Acidobacteria	7.83205688	26.76666667	27.5
1	2	2	1	1	Acidobacteria	7.850541169	26.76666667	27.5
1	2	2	1	1	Acidobacteria	7.843147454	26.76666667	27.5
1	3	1	1	1	Acidobacteria	6.190652075	26.76666667	26.1
1	3	1	1	1	Acidobacteria	6.227620651	26.76666667	26.1
1	3	1	1	1	Acidobacteria	6.273831372	26.76666667	26.1
1	3	2	1	1	Acidobacteria	6.279376659	26.76666667	28.8
1	3	2	1	1	Acidobacteria	6.290467232	26.76666667	28.8
1	3	2	1	1	Acidobacteria	6.323738951	26.76666667	28.8
1	4	1	1	1	Acidobacteria	6.669395143	26.76666667	22.5
1	4	1	1	1	Acidobacteria	6.724848008	26.76666667	22.5
1	4	1	1	1	Acidobacteria	6.783997731	26.76666667	22.5
1	4	2	1	1	Acidobacteria	5.979931187	26.76666667	22.3
1	4	2	1	1	Acidobacteria	6.076049487	26.76666667	22.3
1	4	2	1	1	Acidobacteria	6.040929339	26.76666667	22.3
1	5	1	1	1	Acidobacteria	7.384737102	26.76666667	30
1	5	1	1	1	Acidobacteria	7.408766677	26.76666667	30
1	5	1	1	1	Acidobacteria	7.514127121	26.76666667	30
1	5	2	1	1	Acidobacteria	7.473461686	26.76666667	30.1
1	5	2	1	1	Acidobacteria	7.525217694	26.76666667	30.1
1	5	2	1	1	Acidobacteria	7.532611409	26.76666667	30.1
1	1	1	2	2	Acidobacteria	NA	19.58333333	25.4
1	1	1	2	2	Acidobacteria	NA	19.58333333	25.4
1	1	1	2	2	Acidobacteria	NA	19.58333333	25.4
1	1	2	2	2	Acidobacteria	NA	19.58333333	24.3
1	1	2	2	2	Acidobacteria	NA	19.58333333	24.3
1	1	2	2	2	Acidobacteria	NA	19.58333333	24.3
